Endpoint,Method,Description,Headers,QueryParams,Body,Auth,ExpectedResponse
api/webpush/delete,POST,Delete webpush,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,endpoint string Example: officia,Bearer Token,
api/widgets/total-revenue,GET,Get total revenue,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"department_id integer optional; user_id integer optional Example: 17; date_from date optional month in format ""Y-m""; date_to date optional month in format ""Y-m""; date_from_graph date optional format ""Y-m-d""; date_to_graph date optional format ""Y-m-d""; aggregation_graph string ""day""","""week""","""month""",
api/widgets/conversions,GET,Get conversions,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"department_id integer optional; user_id integer optional Example: 11; date_from date optional month in format ""Y-m""; date_to date optional month in format ""Y-m""; date_from_graph date optional format ""Y-m-d""; date_to_graph date optional format ""Y-m-d""; aggregation_graph string ""day""","""week""","""month""",
api/widgets/average-receipt,GET,Get average receipt,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"department_id integer optional; user_id integer optional Example: 17; date_from date optional month in format ""Y-m""; date_to date optional month in format ""Y-m""; date_from_graph date optional format ""Y-m-d""; date_to_graph date optional format ""Y-m-d""; aggregation_graph string ""day""","""week""","""month""",
api/widgets/leads,GET,Get leads,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"department_id integer optional; user_id integer optional Example: 19; date_from date optional month in format ""Y-m""; date_to date optional month in format ""Y-m""; date_from_graph date optional format ""Y-m-d""; date_to_graph date optional format ""Y-m-d""; aggregation_graph string ""day""","""week""","""month""",
api/widgets/revenue-per-employee,GET,Get revenue per employee,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"department_id integer optional; user_id integer optional Example: 6; date_from date optional month in format ""Y-m""; date_to date optional month in format ""Y-m""; date_from_graph date optional format ""Y-m-d""; date_to_graph date optional format ""Y-m-d""; aggregation_graph string ""day""","""week""","""month""",
api/widgets/activities,GET,Get activities,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"department_id integer optional; user_id integer optional Example: 2; activities_ids integer[] optional; date_from date optional month in format ""Y-m""; date_to date optional month in format ""Y-m""; date_from_graph date optional format ""Y-m-d""; date_to_graph date optional format ""Y-m-d""; aggregation_graph string ""day""","""week""","""month""",activities_ids integer[] optional
api/widgets/calls-ratings,GET,Get calls ratings,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"department_id integer optional; user_id integer optional Example: 18; date_from date optional month in format ""Y-m""; date_to date optional month in format ""Y-m""; date_from_graph date optional format ""Y-m-d""; date_to_graph date optional format ""Y-m-d""; aggregation_graph string ""day""","""week""","""month""",
api/widgets/day-advice,GET,Get day advice,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""text"": ""Совет дня""}"
api/widgets/actuality,GET,"Get actuality. Виджет ""актуальность данных"" Проверка ввода данных ведется по одному показателю fact_leads_count Гл.дашборд тариф без отделов date: дата последнего ввода данных тариф только с отделами date: вчерашняя дата percent: процент ввода данных по отделам. null если отделов нет departments_not_actual: массив. отделы, по которым данны не введены + дата последнего ввода тариф с отделами и мопами date: вчерашняя дата percent: процент ввода данных по отделам/мопам departments_not_actual: массив. отделы, по которым данны не введены полностью. дата последнего ввода нет, т.к. агрегация по мопам Дашборд отдела тариф только с отделами date: дата последнего ввода данных тариф с отделами и мопами date: вчерашняя дата percent: процент ввода данных по отделу мопами. null если мопов нет mops_not_actual: массив. мопы, по которым данны не введены + дата последнего ввода.",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,department_id integer optional,,Bearer Token,"{""date"": ""2025-02-01"", ""percent(optional)"": 50, ""departments_not_actual(optional)"": [{""id"": 1, ""name"": ""dep1"", ""date(optional)"": ""2025-01-30""}], ""mops_not_actual(optional)"": [{""id"": 1, ""name"": ""mop1"", ""avatar_url"":null, ""date"": ""2025-01-30""}]}"
